# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
elt-2,c08e8.4
elt-2,comt-4
elt-2,f15b9.6
elt-2,pck-1
elt-2,ttr-46
elt-2,k07e1.1
elt-2,thn-1
elt-2,thn-2
elt-2,skr-4
elt-2,c30g12.2
elt-2,ttr-48
elt-2,y51b9a.9
elt-2,wbgene00016875
elt-2,f32b5.6
elt-2,f19c6.4
elt-2,asp-13
elt-2,lbp-8
elt-2,b0286.3
elt-2,t22f7.4
elt-2,f52e10.4
elt-2,his-6
elt-2,sulp-8
elt-2,lipl-4
elt-2,f57h12.6
elt-2,nas-5
elt-2,f57g8.7
elt-2,his-27
elt-2,f49f1.7
elt-2,mul-1
elt-2,c49c8.5
elt-2,drd-50
elt-2,clec-4
elt-2,e02c12.8
elt-2,ncx-6
elt-2,mtl-2
elt-2,h02f09.3
elt-2,lec-10
elt-2,nhr-176
elt-2,k11h12.4
elt-2,ifd-1
elt-2,sru-22
elt-2,f28h7.3
elt-2,cgr-1
elt-2,clec-174
elt-2,ugt-2
elt-2,klo-2
elt-2,kqt-2
elt-2,sri-40
elt-2,clec-265
elt-2,clec-66
elt-2,f58g6.3
elt-2,f53h8.3
elt-2,dod-23
elt-2,nmat-1
elt-2,c29f7.1
elt-2,ugt-16
elt-2,w02b12.1
elt-2,y39b6a.1
elt-2,c18a11.3
elt-2,dod-17
elt-2,zk228.4
elt-2,acox-2
elt-2,pho-13
elt-2,pho-4
elt-2,nrf-6
elt-2,unc-93
elt-2,c14c11.4
elt-2,acd-1
elt-2,acbp-3
elt-2,daf-36
elt-2,c35a11.4
elt-2,zk6.11
elt-2,y45g12c.1
elt-2,gst-38
elt-2,ads-1
elt-2,m03b6.1
elt-2,f35e12.5
elt-2,dod-24
elt-2,c32h11.9
elt-2,c31h2.4
elt-2,tmem-135
elt-2,f58g6.7
elt-2,y39d8a.1
elt-2,ugt-44
elt-2,t24c4.4
elt-2,scav-1
elt-2,f55g11.2
elt-2,f55g11.4
elt-2,dod-22
elt-2,f55g11.8
elt-2,f22e5.1
elt-2,t05e7.1
elt-2,lys-3
elt-2,alh-13
elt-2,oac-6
elt-2,f55g1.15
elt-2,f58g6.9
elt-2,clec-232
elt-2,oac-14
elt-2,c49c3.9
elt-2,m01g12.9
elt-2,his-8
elt-2,arrd-7
elt-2,f19c7.2
elt-2,f19c7.4
elt-2,k08c7.1
elt-2,f54e2.1
elt-2,zk896.5
elt-2,c32h11.4
elt-2,f16f9.4
elt-2,ugt-22
elt-2,zk1307.1
elt-2,haf-9
elt-2,c42c1.2
elt-2,ncs-4
elt-2,f08a8.4
elt-2,zc395.5
elt-2,c25f9.4
elt-2,pcp-2
elt-2,b0403.3
elt-2,fbxc-26
elt-2,zk666.4
elt-2,skr-5
elt-2,c17h12.8
elt-2,y18d10a.23
elt-2,c01g10.9
elt-2,t28a11.16
elt-2,c33f10.8
elt-2,zk287.3
elt-2,e02h4.7
elt-2,comt-2
elt-2,c33g8.2
elt-2,spp-23
elt-2,f08g5.6
elt-2,hmit-1.1
elt-2,fbxb-40
elt-2,cyp-34a2
elt-2,t26h5.9
elt-2,f55b12.10
elt-2,dct-8
elt-2,k08d8.4
elt-2,c50f7.5
elt-2,odc-1
elt-2,lipl-2
elt-2,f46c5.1
elt-2,r01b10.3
elt-2,gst-6
elt-2,f01d5.5
elt-2,clec-7
elt-2,c18h7.11
elt-2,f31f7.1
elt-2,phat-3
elt-2,r193.2
elt-2,dhs-7
elt-2,zk1193.4
elt-2,t23e7.6
elt-2,f28b4.3
elt-2,oac-5
elt-2,gba-4
elt-2,lec-9
elt-2,lec-8
elt-2,f14h3.12
elt-2,c18h9.6
elt-2,clec-54
elt-2,cyp-35a3
elt-2,clec-5
elt-2,folt-2
elt-2,ugt-31
elt-2,aagr-1
elt-2,zk121.2
elt-2,clec-86
elt-2,y75b8a.28
elt-2,asp-8
elt-2,y82e9bl.18
elt-2,sid-2
elt-2,f42a10.9
elt-2,nspd-7
elt-2,asp-2
elt-2,clec-50
elt-2,pmt-2
elt-2,ttr-36
elt-2,fbxb-97
elt-2,c23h4.3
elt-2,pud-2.1
elt-2,drd-5
elt-2,f57f4.4
elt-2,f49c12.7
elt-2,r09h10.5
elt-2,scl-3
elt-2,nlp-30
elt-2,f26c11.1
elt-2,dct-17
elt-2,y16b4a.2
elt-2,y69a2ar.12
elt-2,f10c1.9
elt-2,cyp-35c1
elt-2,y119d3b.21
elt-2,w02b12.4
elt-2,asp-1
elt-2,r05a10.2
elt-2,y51a2d.13
elt-2,f13d12.6
elt-2,ttr-35
elt-2,y47h9c.1
elt-2,k08d8.3
elt-2,oac-32
elt-2,y43f8c.13
elt-2,t25c12.3
elt-2,smp-2
elt-2,pud-3
elt-2,r10h10.3
elt-2,pho-11
elt-2,y53g8ar.7
elt-2,cpt-4
elt-2,f42a10.6
elt-2,gst-26
elt-2,gst-24
elt-2,cbl-1
elt-2,c50b6.7
elt-2,f56f10.1
elt-2,spds-1
elt-2,f49c12.14
elt-2,spp-18
elt-2,mec-12
elt-2,drd-10
elt-2,cpr-1
elt-2,cpr-5
elt-2,cpr-4
elt-2,k08d8.5
elt-2,y34b4a.6
elt-2,clec-170
elt-2,f17c11.6
elt-2,c23h5.8
elt-2,t24b8.5
elt-2,pgp-1
elt-2,f21a9.2
elt-2,f27e5.1
elt-2,acs-22
elt-2,y42g9a.2
elt-2,gst-27
elt-2,w02g9.4
elt-2,lys-1
elt-2,lys-4
elt-2,zk1193.2
elt-2,t28f3.8
elt-2,t01d3.6
elt-2,clec-173
elt-2,zk970.7
elt-2,t05e12.6
elt-2,dmsr-2
elt-2,y48a6b.7
elt-2,y55f3br.11
elt-2,c34h4.1
elt-2,y7a5a.1
elt-2,cyp-35a2
elt-2,spp-4
elt-2,f48c1.9
elt-2,c14c6.5
elt-2,clec-233
elt-2,gcsh-1
elt-2,y60a3a.16
elt-2,y40c7b.4
elt-2,c42d4.1
elt-2,y66h1a.5
elt-2,f56c3.9
elt-2,c28g1.2
elt-2,lys-2
elt-2,c12d12.1
elt-2,nmur-4
elt-2,fmo-2
elt-2,cyp-32b1
elt-2,c07e3.3
elt-2,y54f10bm.6
elt-2,w03d2.6
elt-2,c05d10.4
elt-2,c25f9.5
elt-2,fbxb-111
elt-2,sodh-1
elt-2,c29f7.2
elt-2,ugt-18
elt-2,fbxc-25
elt-2,cyp-37b1
elt-2,ncam-1
elt-2,ugt-50
elt-2,hmg-11
elt-2,c47e8.11
elt-2,t19c9.8
elt-2,his-24
elt-2,gfi-1
elt-2,c03c10.5
elt-2,f56d5.6
elt-2,kgb-2
elt-2,h23n18.6
elt-2,myo-2
elt-2,t05h10.3
elt-2,fbxb-105
elt-2,mgl-2
elt-2,clec-52
elt-2,gst-13
elt-2,fbxa-105
elt-2,f01d5.1
elt-2,dod-19
elt-2,clec-85
elt-2,math-41
elt-2,c29f3.7
elt-2,c23g10.11
elt-2,f35e12.6
elt-2,ora-1
elt-2,f53a9.8
elt-2,y41d4b.17
elt-2,cyp-43a1
elt-2,asp-5
elt-2,asm-3
elt-2,asp-3
elt-2,clec-63
elt-2,r03g8.3
elt-2,clec-209
elt-2,clec-150
elt-2,c05d2.8
elt-2,fpn-1.1
elt-2,t10b10.8
elt-2,k10d11.2
elt-2,t21h3.1
elt-2,h34i24.2
elt-2,swt-6
elt-2,tyr-1
elt-2,clc-1
elt-2,y69h2.9
elt-2,zk1320.2
elt-2,k11g9.2
elt-2,dsc-4
elt-2,y46g5a.20
elt-2,pud-1.2
elt-2,zc376.3
elt-2,f58f9.3
elt-2,f19c7.1
elt-2,ctsa-2
elt-2,zk899.2
elt-2,fut-6
elt-2,clec-186
elt-2,twk-5
elt-2,best-14
elt-2,dpy-4
elt-2,t06d4.1
elt-2,ugt-51
elt-2,lev-11
elt-2,c34c12.7
elt-2,dim-1
elt-2,m02e1.2
elt-2,y50e8a.1
elt-2,sup-12
elt-2,unc-1
elt-2,h37a05.2
elt-2,ttr-37
elt-2,f27d9.2
elt-2,ugt-54
elt-2,hsp-12.1
elt-2,lbp-1
elt-2,spp-9
elt-2,spi-1
elt-2,unc-25
elt-2,r10h1.1
elt-2,ptr-8
elt-2,t24f1.5
elt-2,lec-2
elt-2,spp-1
elt-2,nlp-5
elt-2,his-11
elt-2,fbxb-15
elt-2,f57g9.3
elt-2,f14d7.7
elt-2,fbxb-72
elt-2,tbx-11
elt-2,y43f8a.1
elt-2,c54d2.2
elt-2,wbgene00021874
elt-2,dgat-2
elt-2,ttr-21
elt-2,ilys-4
elt-2,b0228.1
elt-2,y119d3b.13
elt-2,f46g11.4
elt-2,svop-1
elt-2,phat-6
elt-2,myo-1
elt-2,c15h9.11
elt-2,c36b1.6
elt-2,best-9
elt-2,oig-1
elt-2,fbxa-143
elt-2,y57a10c.1
elt-2,t16g1.7
elt-2,rab-3
elt-2,tsp-9
elt-2,t03f1.11
elt-2,f16h6.10
elt-2,btb-9
elt-2,c15b12.1
elt-2,sqst-2
elt-2,c02f5.10
elt-2,c07h6.9
elt-2,cutl-14
elt-2,f52d1.2
elt-2,ech-7
elt-2,c52d10.3
elt-2,cyp-25a1
elt-2,lipl-5
elt-2,f40f9.5
elt-2,spp-17
elt-2,t24c2.5
elt-2,t25d10.4
elt-2,f42g2.5
elt-2,ugt-5
elt-2,nep-22
elt-2,cpr-8
elt-2,asp-12
elt-2,haf-4
elt-2,fpn-1.2
elt-2,c41c4.1
elt-2,sdz-19
elt-2,y19d2b.2
elt-2,tbx-37
elt-2,y5h2b.3
elt-2,k11h12.5
elt-2,gpx-7
elt-2,fozi-1
elt-2,col-89
elt-2,b0507.3
elt-2,c53d6.11
elt-2,mlc-2
elt-2,c02e7.7
elt-2,t03f7.7
elt-2,y102a11a.7
elt-2,ugt-23
elt-2,pgp-3
elt-2,pgrn-1
elt-2,f54e4.3
elt-2,f53a3.1
elt-2,h23n18.5
elt-2,f45e1.1
elt-2,f54f7.9
elt-2,sgn-1
elt-2,w04a4.6
elt-2,t26c12.3
elt-2,t09b4.4
elt-2,f37c4.6
elt-2,npa-1
elt-2,c05c12.4
elt-2,y54g2a.49
elt-2,ptr-5
elt-2,col-160
elt-2,f20d6.5
elt-2,col-107
elt-2,clec-53
elt-2,r07e3.1
elt-2,y67a10a.7
elt-2,c55a6.7
elt-2,ztf-16
elt-2,ifa-1
elt-2,clec-72
elt-2,f25b4.8
elt-2,y9c9a.8
elt-2,f52h2.6
elt-2,trpa-1
elt-2,y105c5b.9
elt-2,y102a11a.3
elt-2,ifo-1
elt-2,y41g9a.5
elt-2,r12e2.7
elt-2,bcmo-2
elt-2,smf-3
elt-2,twk-46
elt-2,f40a3.4
elt-2,phg-1
elt-2,cyp-13a6
elt-2,apl-1
elt-2,glo-1
elt-2,col-147
elt-2,cutl-11
elt-2,c50b8.5
elt-2,c25f9.10
elt-2,c25b8.8
elt-2,jph-1
elt-2,pcp-1
elt-2,b0403.5
elt-2,m88.4
elt-2,f19c6.5
elt-2,max-1
elt-2,c02e7.6
elt-2,acp-5
elt-2,f14b8.5
elt-2,cut-2
elt-2,hnd-1
elt-2,bath-23
elt-2,f59d6.1
elt-2,cec-8
elt-2,fbxc-31
elt-2,fbxb-117
elt-2,fbxb-106
elt-2,y40b1a.2
elt-2,nspe-7
elt-2,fipr-20
elt-2,fbxb-37
elt-2,sdz-11
elt-2,f59a7.12
elt-2,hil-2
elt-2,nspd-2
elt-2,f11a5.15
elt-2,zk484.5
elt-2,c26b2.2
elt-2,c45e5.1
elt-2,c48e7.7
elt-2,y43c5a.7
elt-2,w07a12.8
elt-2,f17b5.8
elt-2,fbxa-189
elt-2,f43c9.1
elt-2,y116a8b.4
elt-2,c14c6.2
elt-2,w10c8.6
elt-2,y54g9a.4
elt-2,ugt-17
elt-2,ugt-21
elt-2,c01b10.6
elt-2,f33h12.7
elt-2,ins-29
elt-2,f10e9.12
elt-2,atic-1
elt-2,gba-1
elt-2,nlp-40
elt-2,cyp-35a5
elt-2,fip-6
elt-2,comt-3
elt-2,asah-1
elt-2,c18d11.6
elt-2,f15e6.10
elt-2,spp-8
elt-2,cdr-4
elt-2,nlp-4
elt-2,c06e4.3
elt-2,bath-47
elt-2,cpr-3
elt-2,t28h10.3
elt-2,c15b12.8
elt-2,f49f1.5
elt-2,b0205.13
elt-2,c17f4.2
elt-2,c25f9.11
elt-2,b0034.7
elt-2,hrg-3
elt-2,hrg-1
elt-2,f54f2.7
elt-2,b0348.2
elt-2,y51h4a.5
elt-2,twk-25
elt-2,spp-2
elt-2,r12c12.1
elt-2,c49g7.7
elt-2,d2045.8
elt-2,f31e9.3
elt-2,cyp-37a1
elt-2,msp-19
elt-2,t10b5.7
elt-2,msp-38
elt-2,cnc-6
elt-2,msp-113
elt-2,msp-78
elt-2,msp-81
elt-2,amt-4
elt-2,msp-31
elt-2,klu-2
elt-2,bgal-2
elt-2,msp-50
elt-2,ngp-1
elt-2,f07a11.5
elt-2,nlp-34
elt-2,prmt-6
elt-2,c46c11.2
elt-2,k09h11.1
elt-2,clec-218
elt-2,c03b8.2
elt-2,scrm-3
elt-2,xbx-4
elt-2,c36a4.11
elt-2,f13b12.2
elt-2,f20b6.7
elt-2,srx-125
elt-2,t14b4.5
elt-2,daao-1
elt-2,odd-1
elt-2,fbxc-43
elt-2,f07c6.6
elt-2,f14h12.6
elt-2,f42g4.5
elt-2,r12c12.9
elt-2,t24c4.8
elt-2,t26e3.7
elt-2,y113g7b.12
elt-2,y39f10a.1
elt-2,fbxb-24
elt-2,gcp-2.1
elt-2,t02c5.1
elt-2,fat-6
elt-2,spp-5
elt-2,dod-20
elt-2,fbl-1
elt-2,msp-3
elt-2,zk1290.14
elt-2,t22d1.11
elt-2,gly-19
elt-2,cpz-2
elt-2,ceh-37
elt-2,nhr-232
elt-2,y82e9bl.6
elt-2,fbxa-88
elt-2,pgp-9
elt-2,y77e11a.14
elt-2,zk418.7
elt-2,c03b1.10
elt-2,f01d5.8
elt-2,k06a4.7
elt-2,zk1240.3
elt-2,c23h3.3
elt-2,elt-7
elt-2,c07h4.1
elt-2,nurf-1
elt-2,nlt-1
elt-2,hke-4.2
elt-2,y57g7a.11
elt-2,fat-2
elt-2,flp-10
elt-2,fis-2
elt-2,mpst-1
elt-2,vps-37
elt-2,ssp-9
elt-2,r12e2.15
elt-2,y54f10am.8
elt-2,y38f1a.6
elt-2,elt-2
elt-2,cpr-6
elt-2,ssp-11
elt-2,k08f11.1
elt-2,f58f12.4
elt-2,k12c11.6
elt-2,best-24
elt-2,f08f3.10
elt-2,nhr-80
elt-2,ckc-1
elt-2,c53c11.2
elt-2,w02d7.4
elt-2,w09d6.5
elt-2,acr-5
elt-2,y19d2b.1
elt-2,mocs-1
elt-2,w04h10.1
elt-2,f32h5.1
elt-2,t08b2.12
elt-2,hmit-1.3
elt-2,c06h5.6
elt-2,y13c8a.1
elt-2,k09f6.9
elt-2,y61a9la.12
elt-2,f22h10.6
elt-2,f55c9.5
elt-2,r09a1.3
elt-2,c53d5.5
elt-2,w02a2.9
elt-2,nhr-79
elt-2,f28h6.8
elt-2,r01h2.8
elt-2,y54g2a.41
elt-2,zc328.5
elt-2,srsx-27
elt-2,cyp-33c9
elt-2,zk1240.2
elt-2,mrp-3
elt-2,nlp-41
elt-2,c26d10.6
elt-2,zk185.5
elt-2,fbxa-84
elt-2,k11e4.2
elt-2,c24h12.1
elt-2,t13g4.4
elt-2,zc239.15
elt-2,t01c1.4
elt-2,vzk822l.2
elt-2,fbxb-30
elt-2,zk688.4
elt-2,c18a3.10
elt-2,k12c11.7
elt-2,ugt-7
elt-2,spp-14
elt-2,his-16
elt-2,acs-5
elt-2,t06g6.12
elt-2,k09b11.4
elt-2,fbxa-141
elt-2,c42d8.1
elt-2,m7.8
elt-2,c05d12.7
elt-2,f28f5.6
elt-2,y39c12a.9
elt-2,f52c6.13
elt-2,f10d2.8
elt-2,f09e5.16
elt-2,acd-5
elt-2,srv-1
elt-2,c26c6.9
elt-2,f43c11.7
elt-2,t22e5.1
elt-2,fah-1
elt-2,fbxa-2
elt-2,t07f10.6
elt-2,k06a9.3
elt-2,f07b10.4
elt-2,f55g11.6
elt-2,c45g9.8
elt-2,r07b1.11
elt-2,d1007.19
elt-2,f49e2.1
elt-2,glb-28
elt-2,math-20
elt-2,f21h12.3
elt-2,f57a10.2
elt-2,c49c3.11
elt-2,clec-71
elt-2,d1007.18
elt-2,ugt-61
elt-2,f31b12.4
elt-2,fbxa-90
elt-2,f56c3.8
elt-2,srxa-9
elt-2,c43d7.7
elt-2,zk896.1
elt-2,f55c9.11
elt-2,f10c2.3
elt-2,f28h7.2
elt-2,f53f8.7
elt-2,nlp-46
glp-1,clec-47
glp-1,b0024.4
glp-1,y17d7b.7
glp-1,col-129
glp-1,col-139
glp-1,f53b2.8
glp-1,clec-67
glp-1,col-81
glp-1,k02e2.6
glp-1,y17d7b.4
glp-1,y43c5a.2
glp-1,col-142
glp-1,clec-41
glp-1,k04g7.1
glp-1,metr-1
glp-1,k06g5.1
glp-1,npp-8
glp-1,prmt-3
glp-1,t16g12.1
glp-1,mct-3
glp-1,sptl-2
glp-1,f15e6.3
glp-1,c08e3.13
glp-1,cpi-1
glp-1,h17b01.2
glp-1,nit-1
glp-1,gst-20
glp-1,y51h7c.3
glp-1,f54d12.4
glp-1,unc-89
glp-1,y51h7c.7
glp-1,glt-1
glp-1,egl-3
glp-1,sca-1
glp-1,nduo-5
glp-1,meg-4
glp-1,mec-17
glp-1,rgs-9
glp-1,c05b5.8
glp-1,m01a8.1
glp-1,nhr-23
glp-1,par-3
glp-1,ccpp-1
glp-1,f41d3.9
glp-1,cht-1
glp-1,f10c1.3
glp-1,vet-1
glp-1,f56a8.8
glp-1,c29f9.2
glp-1,pes-2.2
glp-1,nhr-2
glp-1,cav-1
glp-1,f19b10.2
glp-1,eeed8.13
glp-1,f09c8.1
glp-1,ram-2
glp-1,f32h2.7
glp-1,c49a9.3
glp-1,zc434.9
glp-1,c14c10.1
glp-1,gsto-1
glp-1,skpo-3
glp-1,f23b12.4
glp-1,ttr-14
glp-1,t19d12.4
glp-1,cth-1
glp-1,ttr-30
glp-1,ttr-59
glp-1,y58a7a.3
glp-1,nas-9
glp-1,f09f7.5
glp-1,y105c5a.13
glp-1,c16e9.1
glp-1,col-180
glp-1,c55b7.3
glp-1,y43f8a.2
glp-1,c10c5.2
glp-1,acox-5
glp-1,ugt-36
glp-1,t20d4.4
glp-1,t20d4.3
glp-1,decr-1.1
glp-1,col-149
glp-1,f40f8.4
glp-1,c45b2.2
glp-1,col-39
glp-1,ceeh-1
glp-1,vap-2
glp-1,c42d4.3
glp-1,col-62
glp-1,y58a7a.5
glp-1,pgp-5
glp-1,irg-1
glp-1,y73f4a.3
glp-1,grl-21
glp-1,zip-2
glp-1,nlp-18
glp-1,y47d7a.13
glp-1,c07a12.7
glp-1,piit-1
glp-1,pdb1.1
glp-1,f35b12.3
glp-1,gst-4
glp-1,grd-4
glp-1,f08c6.5
glp-1,ptr-20
glp-1,t23f4.1
glp-1,lips-17
glp-1,dmd-7
glp-1,hda-5
glp-1,clec-8
glp-1,lips-15
glp-1,sek-1
glp-1,t26c5.4
glp-1,cyp-34a5
glp-1,ges-1
glp-1,cyp-34a8
glp-1,cyp-34a9
glp-1,clec-15
glp-1,d1086.2
glp-1,d1086.1
glp-1,nhr-62
glp-1,dhs-9
glp-1,his-2
glp-1,hacd-1
glp-1,mtl-1
glp-1,t07d1.2
glp-1,f01d4.8
glp-1,lgc-22
glp-1,f25e2.3
glp-1,ceh-63
glp-1,c55a6.3
glp-1,f59b10.5
glp-1,zk355.3
glp-1,nbid-1
glp-1,k07b1.4
glp-1,f55h12.4
glp-1,t05f1.11
glp-1,f41e6.5
glp-1,f41d9.2
glp-1,clec-57
glp-1,c13c4.6
glp-1,ttr-26
glp-1,ttr-25
glp-1,poml-3
glp-1,ins-35
glp-1,f40a3.2
glp-1,f48d6.4
glp-1,hlh-13
glp-1,y55b1bl.1
glp-1,clec-76
glp-1,nhr-92
glp-1,hex-1
glp-1,dao-3
glp-1,t28a11.2
glp-1,hsp-70
glp-1,ugt-11
glp-1,cdr-2
glp-1,f35d11.3
glp-1,t08b1.4
glp-1,fipr-22
glp-1,ftn-1
glp-1,dhs-30
glp-1,hsp-12.6
glp-1,nhr-132
glp-1,zc196.2
glp-1,scl-24
glp-1,f08b12.4
glp-1,sip-1
glp-1,c01a2.2
glp-1,zig-9
glp-1,zc239.14
glp-1,math-21
glp-1,asm-2
glp-1,y6e2a.5
glp-1,y6e2a.4
glp-1,f35f10.5
glp-1,c52a10.2
glp-1,dct-6
glp-1,c08f11.3
glp-1,f10d11.6
glp-1,cyp-13a11
glp-1,c23h4.2
glp-1,t25f10.3
glp-1,akt-2
glp-1,c27h5.2
glp-1,cyp-13a12
glp-1,poml-4
glp-1,his-42
glp-1,asns-2
glp-1,tre-4
glp-1,his-45
glp-1,c06a12.3
glp-1,c32d5.1
glp-1,sod-3
glp-1,gpd-3
glp-1,tbb-6
glp-1,t28d9.3
glp-1,ethe-1
glp-1,pnk-1
glp-1,c02f12.5
glp-1,cyp-14a4
glp-1,egl-13
glp-1,f21c10.10
glp-1,sqrd-1
glp-1,y34f4.2
glp-1,f38b6.4
glp-1,y61a9la.4
glp-1,d2007.2
glp-1,t05h4.15
glp-1,far-3
glp-1,cld-9
glp-1,c54f6.6
glp-1,b0507.10
glp-1,unc-84
glp-1,cyp-14a1
glp-1,cyp-14a3
glp-1,e01g4.3
glp-1,stdh-1
glp-1,kin-16
glp-1,w08a12.2
glp-1,fbxa-78
glp-1,zc410.5
glp-1,dod-6
glp-1,cdc-14
glp-1,cyp-35b1
glp-1,cyp-25a2
glp-1,cyp-33e2
glp-1,gob-1
glp-1,y9c9a.16
glp-1,r13h4.5
glp-1,f08g12.5
glp-1,t07d3.4
glp-1,f35f10.7
glp-1,nceh-1
glp-1,xtr-1
glp-1,h18n23.2
glp-1,c25e10.12
glp-1,his-55
glp-1,c17c3.3
glp-1,hil-1
glp-1,f23f1.2
glp-1,cyp-33c2
glp-1,c41g7.3
glp-1,nhr-76
glp-1,clec-145
glp-1,r03h10.7
glp-1,t20d4.11
glp-1,f01f1.14
glp-1,dhs-20
glp-1,y6g8.2
glp-1,fipr-23
glp-1,fipr-24
glp-1,dhs-26
glp-1,tyr-2
glp-1,best-5
glp-1,srv-24
glp-1,w02c12.2
glp-1,aakb-1
glp-1,fbxa-161
glp-1,bath-26
glp-1,f56d3.1
glp-1,h39e23.3
glp-1,amt-1
glp-1,t27d12.1
glp-1,c17h1.7
glp-1,f54f7.3
glp-1,rskn-2
glp-1,c25e10.8
glp-1,srh-2
glp-1,c08e8.4
glp-1,add-2
glp-1,maa-1
glp-1,nkb-3
glp-1,cab-1
glp-1,y53g8b.1
glp-1,brp-1
glp-1,t19b10.2
glp-1,k03a11.5
glp-1,comt-4
glp-1,acs-17
glp-1,gst-29
glp-1,t25b2.2
glp-1,ugt-27
glp-1,btb-17
glp-1,fbxa-163
glp-1,fbxa-164
glp-1,f53b3.6
glp-1,sta-1
glp-1,aat-1
glp-1,f45d3.2
glp-1,t27e4.7
glp-1,f49c5.3
glp-1,fbxa-165
glp-1,y57g7a.1
glp-1,c45e5.3
glp-1,c04e12.5
glp-1,e04f6.9
glp-1,clx-1
glp-1,nnt-1
glp-1,gst-39
glp-1,c40h1.2
glp-1,y70c5a.3
glp-1,f20a1.10
glp-1,c53b7.3
glp-1,clec-13
glp-1,fat-5
glp-1,f58e2.3
glp-1,far-7
glp-1,asp-9
glp-1,scl-20
glp-1,zc204.12
glp-1,zk455.5
glp-1,r186.1
glp-1,f15b9.6
glp-1,zc443.3
glp-1,y69h2.3
glp-1,f46h5.7
glp-1,pck-1
glp-1,clec-61
glp-1,h19n07.3
glp-1,ttr-46
glp-1,chil-8
glp-1,y51b9a.8
glp-1,twk-33
glp-1,k07e1.1
glp-1,thn-1
glp-1,thn-2
glp-1,his-59
glp-1,r09d1.12
glp-1,his-63
glp-1,skr-4
glp-1,c30g12.2
glp-1,ptr-12
glp-1,ttr-41
glp-1,f44d12.2
glp-1,c29e4.10
glp-1,dlhd-1
glp-1,arrd-11
glp-1,ttr-48
glp-1,y51b9a.9
glp-1,jun-1
glp-1,f32a5.4
glp-1,b0238.13
glp-1,b0238.12
glp-1,fkh-9
glp-1,wbgene00016875
glp-1,f32b5.6
glp-1,poml-2
glp-1,d1086.3
glp-1,tig-2
glp-1,fbxa-187
glp-1,y71h2am.13
glp-1,dod-3
glp-1,f19c6.4
glp-1,f43h9.4
glp-1,aman-1
glp-1,lys-7
glp-1,f44a2.7
glp-1,fbxa-151
glp-1,r03h10.1
glp-1,ttr-23
glp-1,m60.4
glp-1,lea-1
glp-1,lec-4
glp-1,f13d12.3
glp-1,c23g10.6
glp-1,b0286.3
glp-1,sdz-24
glp-1,r05d8.7
glp-1,f47b8.4
glp-1,f47b8.2
glp-1,y37e11b.7
glp-1,y48a6b.8
glp-1,c54d10.10
glp-1,ugt-41
glp-1,f53e10.1
glp-1,abf-2
glp-1,abf-1
glp-1,t22f7.4
glp-1,y46g5a.29
glp-1,y54g2a.11
glp-1,acs-21
glp-1,y54g2a.10
glp-1,clec-82
glp-1,zk1073.1
glp-1,f52e10.4
glp-1,b0238.1
glp-1,ttr-5
glp-1,his-10
glp-1,his-6
glp-1,f13d11.4
glp-1,c32f10.4
glp-1,f35f10.6
glp-1,t22b7.7
glp-1,his-14
glp-1,f21a3.2
glp-1,f23f1.7
glp-1,ttm-2
glp-1,f59e11.7
glp-1,t03g6.3
glp-1,ttr-44
glp-1,w01a11.1
glp-1,sulp-8
glp-1,zk899.1
glp-1,f15g9.1
glp-1,lipl-4
glp-1,f17b5.1
glp-1,f22b7.9
glp-1,f47b7.1
glp-1,scl-25
glp-1,f57h12.6
glp-1,c17g1.2
glp-1,nas-5
glp-1,glb-1
glp-1,f57g8.7
glp-1,t02b5.1
glp-1,y105c5a.8
glp-1,tom-1
glp-1,his-32
glp-1,c24b5.4
glp-1,his-26
glp-1,tps-1
glp-1,math-37
glp-1,nhr-55
glp-1,ugt-48
glp-1,f14d7.6
glp-1,ugt-46
glp-1,fbxa-128
glp-1,mul-1
glp-1,c49c8.5
glp-1,drd-50
glp-1,f21d5.3
glp-1,f13b6.2
glp-1,c49g7.10
glp-1,fmo-1
glp-1,e02c12.8
glp-1,ndg-4
glp-1,ncx-6
glp-1,mtl-2
glp-1,y17d7b.2
glp-1,k05f1.10
glp-1,aman-3
glp-1,f13a7.11
glp-1,math-14
glp-1,k11h12.4
glp-1,cdd-1
glp-1,c05d12.3
glp-1,ver-2
glp-1,ifb-2
glp-1,sru-22
glp-1,cah-3
glp-1,cgr-1
glp-1,hsp-17
glp-1,y48e1b.8
glp-1,c18a11.4
glp-1,ugt-2
glp-1,cah-5
glp-1,t08b1.1
glp-1,ugt-53
glp-1,y75b8a.39
glp-1,kqt-2
glp-1,y32f6a.4
glp-1,mec-5
glp-1,nas-20
glp-1,c18d4.8
glp-1,c31h5.6
glp-1,clec-3
glp-1,c34h4.2
glp-1,c27a7.1
glp-1,m02f4.3
glp-1,clec-265
glp-1,c32d5.6
glp-1,clec-66
glp-1,m04c3.1
glp-1,cccp-1
glp-1,pbo-1
glp-1,cpt-5
glp-1,f53h8.3
glp-1,obr-1
glp-1,tba-4
glp-1,ins-7
glp-1,e02c12.6
glp-1,cdk-5
glp-1,dod-23
glp-1,clec-51
glp-1,ugt-47
glp-1,flr-4
glp-1,him-3
glp-1,y59h11ar.4
glp-1,crn-6
glp-1,c25d7.5
glp-1,f17c11.11
