# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
gld-2,mixed of L4 and young adult,N2,RNAi,RNA-Seq,GSE57993,"Elewa et al., 2015",
gld-2,young adult,N2,RNAi,RNA-Seq,GSE58918,"Nousch et al., 2014",
gld-3,mixed of L4 and young adult,N2,RNAi,RNA-Seq,GSE57993,"Elewa et al., 2015",
gld-4,young adult,N2,RNAi,RNA-Seq,GSE58918,"Nousch et al., 2014",
glh-1,day-1 adult,N2,mutant,RNA-Seq,GSE76946,"Knutson et al., 2016",dissected gonad
glp-1,young adult,N2,mutant,microarray,GSE15159,"Boyd et al., 2010",
glp-1,young adult,N2,mutant,microarray,GSE43864,"Gracida et al., 2013",
glp-1,young adult,N2,mutant,microarray,GSE21531,"Waters et al., 2010",
glp-1,day-1 adult,N2,mutant,RNA-Seq,GSE63075,"Steinbaugh et al., 2015",
h3k36,young adult,N2,CRISPR,western blot,GSE93086,"Amendola et al., 2017",
hbl-1,L4,N2,mutant,microarray,Publication data,"Niwa et al., 2009",overexpression
hcf-1,young adult,N2,mutant,microarray,GSE30725,"Rizki et al., 2011",
hif-1,young adult,N2,Mutant,RNA-Seq,GSE97355,"Albores et al., 2017",
his-24,mixed of L4 and young adult,N2,mutant,microarray,"GSE33339, GSE25714","Studencka et al., 2012",
hlh-29,young adult,N2,mutant,microarray,GSE65417,"Thanh et al., 2013",
hpl-1,mixed of L4 and young adult,N2,mutant,microarray,"GSE33339, GSE25714","Studencka et al., 2012",microaray and chip in L4+ adult
hpl-2,mixed of L4 and young adult,N2,mutant,microarray,"GSE33339, GSE25714","Studencka et al., 2012",
hrde-1,young adult,N2,mutant,RNA-Seq,GSE74405,"Ni et al., 2016",
hsf-1,day-3 adult,N2,RNAi,microarray,GSE83722,"Kim et al., 2016",
hsp-6,day-3 adult,N2,RNAi,microarray,GSE83722,"Kim et al., 2016",
hyl-2,young adult,N2,mutant,RNA-Seq,GSE83887,"Ladage et al., 2016",
idr-1,L4,N2,RNAi,microarray,GSE40252,"Chamoli et al., 2014",mekk-3/idr-1 RNAi; ***pha-4 target
ifg-1,day-3 adult,N2,RNAi,microarray,GSE28665,"Rogers et al., 2011",
isp-1,young adult,N2,mutant,microarray,GSE54024,"Yee et al., 2014",
isp-1,young adult,N2,mutant,microarray,Supplementary table,"Christina et al., 2009",
isp-1,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
jmjd-1.2,day-1 adult,N2,mutant,RNA-Seq,GSE78990,"Merkwirth et al., 2016",
jmjd-5,young adult,N2,CRISPR,RNA-Seq,GSE93086,"Amendola et al., 2017",
Jun-1,day-4 adult,N2,mutant,microarray,GSE27677,"Uno et al., 2013",
kgb-1,day-4 adult,N2,mutant,microarray,GSE27677,"Uno et al., 2013",
kin-1,L4,N2,mutant,microarray,GSE40809,"Ma et al., 2012",https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-40809/samples/
let-60,young adult,N2,RNAi,microarray,Supplementary table,"Romagnolo et al., 2002",
lin-28,day-4 adult,N2,RNAi,RNA-Seq,GSE86077,"Wang et al., 2017",
lin-35,young adult,N2,mutant,microarray,GSE5069,"Leacock et al., 2006",
lin-35,young adult,N2,mutant,microarray,GSE5071,"Chi et al., 2006",disssected gonad
lin-35,L4,N2,mutant,microarray,GSE6547,"Kirienko et al., 2007",
lin-54,young adult,N2,mutant,microarray,GSE52064,"Tabuchi et al., 2014",dissected germline. also have double mutant
math-33,day-1 adult,N2,mutant,RNA-Seq,GSE70117,"Heimbucher et al., 2015",
mes-2,young adult,N2,mutant,microarray,GSE38158,"Gaydos et al., 2012",dissected adult germline
mes-2,young adult,N2,mutant,microarray,GSE49395,"Seelk et al., 2016",
mes-4,young adult,N2,mutant,microarray,GSE52064,"Tabuchi et al., 2014",dissected germline
mes-4,young adult,N2,mutant,microarray,GSE5454,"Bender et al., 2006",dissected gonad
mes-4,young adult,N2,mutant,microarray,GSE38158,"Gaydos et al., 2012",dissected adult germline
mes-6,young adult,N2,mutant,microarray,GSE49395,"Seelk et al., 2016",
metr-1,young adult,N2,RNAi,microarray,GSE43952,"Watson et al., 2013",
mev-1,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
mex-5,mixed of L4 and young adult,N2,RNAi,RNA-Seq,GSE57993,"Elewa et al., 2015",
mex-6,mixed of L4 and young adult,N2,RNAi,RNA-Seq,GSE57993,"Elewa et al., 2015",
mir-243,young adult,N2,mutant,microarray,GSE20558,"Correa et al., 2010",
mir-34,young adult,N2,,microarray,GSE76413,"Isik et al., 2016",overexpression
mir-60,young adult,N2,Mutant,RNA-Seq,GSE83239,"Kato et al., 2016",
mtss-1,day-1 adult,N2,RNAi,microarray,Supplementary table,"Sugimoto et al., 2008",
nac,day-2 adult,N2,RNAi,microarray,GSE63928,"Gamerdinger et al., 2015","icd-1, icd-2"
nduf-6,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
nhr-114,Young adult,N2,RNAi,microarray,GSE43864,"Gracida et al., 2013",
nhr-25,young adult,N2,RNAi,microarray,GSE48605,"Ward et al., 2014",
nhr-62,young adult,N2,mutant,RNA-Seq,GSE55988,"Heestand et al., 2013",
nhr-64,L4,N2,RNAi,qPCR,Publication data,"Liang et al., 2010",
nuo-5,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
nuo-6,young adult,N2,mutant,microarray,GSE54024,"Yee et al., 2014",
oga-1,L4,N2,mutant,microarray,GSE18132,"Love et al., 2010",
p-granule,young adult,N2,RNAi,germline RNA-Seq,GSE67954,"Campbell et al., 2015","p-granule RNAi --simultaneously target pgl-1, pgl-3, glh-1 and glh-4"
pcca-1,young adult,N2,RNAi,microarray,GSE43952,"Watson et al., 2013",
pdf-1,young adult,N2,mutant,microarray,GSE26228,"Temmerman et al., 2010",
pgl-1,day-1 adult,N2,mutant,RNA-Seq,GSE76946,"Knutson et al., 2016",dissected gonad
plep-1,young adult,N2,RNAi,RNA-Seq,GSE68351,"Noble et al., 2015",
pmk-1,young adult,N2,mutant,RNA-Seq,GSE41205,"Mertenskötter et al., 2013",under heat stress
pos-1,mixed of L4 and young adult,N2,RNAi,RNA-Seq,GSE57993,"Elewa et al., 2015",
prde-1,young adult,N2,mutant,microarray,GSE49220,"Weick et al., 2014",Study focued on miRNA
prg-1,young adult,N2,mutant,microarray,GSE49220,"Weick et al., 2014",Study focued on miRNA
rege-1,young adult,N2,RNAi,RNA-Seq,GSE75160,"Habacher et al., 2016",
rhy-1,young adult,N2,Mutant,RNA-Seq,GSE97355,"Albores et al., 2017",
